FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E01029915,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029670,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01029811,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029569,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029621,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01029112,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01029036,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029692,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01029734,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01028807,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01029697,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01029868,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01028764,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028863,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01028758,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028763,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01026874,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01026754,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01028160,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01026974,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01027718,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01026886,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01026935,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027712,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028235,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01028629,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01027059,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01028206,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01028197,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01028371,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01028631,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01011464,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01011552,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01011494,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01011405,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
